"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Azerbaijan","Alemania","Mujeres","65 o más",5,10,15,0.3416
"Bosnia y Herzegovina","Alemania","Mujeres","65 o más",0,30,30,0.0703
"Desconocido","Alemania","Mujeres","65 o más",30,20,50,0.5414
"Eritrea","Alemania","Mujeres","65 o más",40,0,40,0.9046
"Georgia","Alemania","Mujeres","65 o más",0,5,5,0.0772
"Irán","Alemania","Mujeres","65 o más",45,55,100,0.7402
"Iraq","Alemania","Mujeres","65 o más",200,40,240,0.8036
"Kosovo","Alemania","Mujeres","65 o más",25,55,80,0.1246
"Macedonia","Alemania","Mujeres","65 o más",0,40,40,0.0117
"Montenegro","Alemania","Mujeres","65 o más",0,5,5,0.0272
"Nigeria","Alemania","Mujeres","65 o más",0,5,5,0.225
"Pakistán","Alemania","Mujeres","65 o más",40,45,85,0.3271
"Rusia","Alemania","Mujeres","65 o más",20,55,75,0.3526
"Serbia","Alemania","Mujeres","65 o más",0,135,135,0.0583
"Siria","Alemania","Mujeres","65 o más",360,20,380,0.9477
"Somalia","Alemania","Mujeres","65 o más",0,5,5,0.8471
"Sri Lanka","Alemania","Mujeres","65 o más",50,20,70,0.5462
"Turquía","Alemania","Mujeres","65 o más",0,20,20,0.3299
"Vietnam","Alemania","Mujeres","65 o más",0,5,5,0.1467
"Afganistán","Austria","Mujeres","65 o más",10,5,15,0.7597
"Armenia","Austria","Mujeres","65 o más",5,15,20,0.1942
"Iraq","Austria","Mujeres","65 o más",20,0,20,0.8341
"Mongolia","Austria","Mujeres","65 o más",0,5,5,0.0931
"Rusia","Austria","Mujeres","65 o más",20,80,100,0.4009
"Siria","Austria","Mujeres","65 o más",15,0,15,0.957
"Afganistán","Bélgica","Mujeres","65 o más",40,20,60,0.7465
"Albania","Bélgica","Mujeres","65 o más",5,15,20,0.2047
"Angola","Bélgica","Mujeres","65 o más",0,10,10,0.3419
"Armenia","Bélgica","Mujeres","65 o más",0,60,60,0.1833
"Azerbaijan","Bélgica","Mujeres","65 o más",0,5,5,0.3725
"Burundi","Bélgica","Mujeres","65 o más",0,5,5,0.5977
"Desconocido","Bélgica","Mujeres","65 o más",5,0,5,0.5746
"Georgia","Bélgica","Mujeres","65 o más",0,10,10,0.0873
"Irán","Bélgica","Mujeres","65 o más",10,10,20,0.7652
"Iraq","Bélgica","Mujeres","65 o más",35,10,45,0.824
"Kosovo","Bélgica","Mujeres","65 o más",0,30,30,0.14
"Macedonia","Bélgica","Mujeres","65 o más",0,5,5,0.0134
"Rep. Dem. Congo","Bélgica","Mujeres","65 o más",5,45,50,0.4292
"Ruanda","Bélgica","Mujeres","65 o más",0,20,20,0.6684
"Rusia","Bélgica","Mujeres","65 o más",15,50,65,0.384
"Serbia","Bélgica","Mujeres","65 o más",5,10,15,0.0662
"Siria","Bélgica","Mujeres","65 o más",40,5,45,0.954
"Afganistán","Bulgaria","Mujeres","65 o más",5,0,5,0.8136
"Apátrida","Bulgaria","Mujeres","65 o más",5,0,5,0.9101
"Iraq","Bulgaria","Mujeres","65 o más",15,0,15,0.874
"Siria","Bulgaria","Mujeres","65 o más",40,0,40,0.9685
"Iraq","Chipre","Mujeres","65 o más",10,5,15,0.6651
"Israel","Chipre","Mujeres","65 o más",0,10,10,0.0286
"Palestina","Chipre","Mujeres","65 o más",10,25,35,0.703
"Qatar","Chipre","Mujeres","65 o más",0,5,5,0
"Siria","Chipre","Mujeres","65 o más",5,5,10,0.898
"Yemen","Chipre","Mujeres","65 o más",0,10,10,0.4581
"Afganistán","Dinamarca","Mujeres","65 o más",15,45,60,0.6791
"Apátrida","Dinamarca","Mujeres","65 o más",15,15,30,0.8308
"Iraq","Dinamarca","Mujeres","65 o más",5,0,5,0.7709
"Palestina","Dinamarca","Mujeres","65 o más",0,5,5,0.8003
"Serbia","Dinamarca","Mujeres","65 o más",0,5,5,0.0484
"Siria","Dinamarca","Mujeres","65 o más",30,10,40,0.9371
"Somalia","Dinamarca","Mujeres","65 o más",20,10,30,0.82
"Sri Lanka","Dinamarca","Mujeres","65 o más",0,15,15,0.4974
"Colombia","España","Mujeres","65 o más",0,10,10,0.2246
"Cuba","España","Mujeres","65 o más",20,0,20,0.738
"Iraq","España","Mujeres","65 o más",0,5,5,0.7431
"Siria","España","Mujeres","65 o más",20,0,20,0.9276
"Somalia","España","Mujeres","65 o más",5,0,5,0.7966
"Afganistán","Finlandia","Mujeres","65 o más",0,5,5,0.779
"Iraq","Finlandia","Mujeres","65 o más",10,0,10,0.8486
"Rusia","Finlandia","Mujeres","65 o más",0,5,5,0.4273
"Ucrania","Finlandia","Mujeres","65 o más",0,5,5,0.2228
"Afganistán","Francia","Mujeres","65 o más",15,0,15,0.6973
"Albania","Francia","Mujeres","65 o más",10,55,65,0.1676
"Algeria","Francia","Mujeres","65 o más",0,15,15,0.0994
"Angola","Francia","Mujeres","65 o más",0,30,30,0.289
"Apátrida","Francia","Mujeres","65 o más",0,5,5,0.8424
"Armenia","Francia","Mujeres","65 o más",25,225,250,0.1494
"Azerbaijan","Francia","Mujeres","65 o más",35,55,90,0.3171
"China (incluye Hong Kong)","Francia","Mujeres","65 o más",0,20,20,0.4081
"Georgia","Francia","Mujeres","65 o más",0,65,65,0.0696
"Guinea","Francia","Mujeres","65 o más",0,5,5,0.4849
"Haití","Francia","Mujeres","65 o más",0,25,25,0.2251
"Iraq","Francia","Mujeres","65 o más",65,0,65,0.7855
"Kosovo","Francia","Mujeres","65 o más",5,95,100,0.113
"Palestina","Francia","Mujeres","65 o más",5,0,5,0.8135
"Rep. Dem. Congo","Francia","Mujeres","65 o más",5,85,90,0.3703
"República Centroafricana","Francia","Mujeres","65 o más",10,0,10,0.8098
"Rusia","Francia","Mujeres","65 o más",40,155,195,0.3277
"Serbia","Francia","Mujeres","65 o más",0,10,10,0.0525
"Siria","Francia","Mujeres","65 o más",90,0,90,0.9419
"Somalia","Francia","Mujeres","65 o más",5,5,10,0.8321
"Sri Lanka","Francia","Mujeres","65 o más",170,100,270,0.5186
"Turquía","Francia","Mujeres","65 o más",5,20,25,0.3058
"Ucrania","Francia","Mujeres","65 o más",0,5,5,0.1578
"Georgia","Grecia","Mujeres","65 o más",0,25,25,0.007
"Afganistán","Holanda","Mujeres","65 o más",75,15,90,0.7501
"Apátrida","Holanda","Mujeres","65 o más",10,0,10,0.8744
"Armenia","Holanda","Mujeres","65 o más",0,25,25,0.1862
"Azerbaijan","Holanda","Mujeres","65 o más",0,5,5,0.377
"Corea del Norte","Holanda","Mujeres","65 o más",0,10,10,0.6584
"Desconocido","Holanda","Mujeres","65 o más",10,0,10,0.5792
"Eritrea","Holanda","Mujeres","65 o más",10,0,10,0.9171
"Georgia","Holanda","Mujeres","65 o más",0,5,5,0.0889
"Irán","Holanda","Mujeres","65 o más",10,20,30,0.7686
"Iraq","Holanda","Mujeres","65 o más",165,35,200,0.8267
"Líbano","Holanda","Mujeres","65 o más",0,5,5,0.2163
"Mongolia","Holanda","Mujeres","65 o más",0,5,5,0.0888
"Rusia","Holanda","Mujeres","65 o más",0,20,20,0.3884
"Siria","Holanda","Mujeres","65 o más",70,5,75,0.9548
"Somalia","Holanda","Mujeres","65 o más",70,25,95,0.8659
"Sri Lanka","Holanda","Mujeres","65 o más",5,20,25,0.5839
"Ucrania","Holanda","Mujeres","65 o más",0,5,5,0.1962
"Kosovo","Hungría","Mujeres","65 o más",0,5,5,0.0689
"Siria","Hungría","Mujeres","65 o más",5,0,5,0.9041
"Iraq","Irlanda","Mujeres","65 o más",5,0,5,0.5055
"Bosnia y Herzegovina","Italia","Mujeres","65 o más",5,5,10,0.3554
"Desconocido","Italia","Mujeres","65 o más",45,70,115,0.8959
"Ghana","Italia","Mujeres","65 o más",0,5,5,0.7667
"Palestina","Italia","Mujeres","65 o más",10,0,10,0.9726
"Siria","Italia","Mujeres","65 o más",5,0,5,0.9925
"Somalia","Italia","Mujeres","65 o más",5,0,5,0.9758
"Georgia","Polonia","Mujeres","65 o más",0,15,15,0.1774
"Rusia","Polonia","Mujeres","65 o más",20,20,40,0.5842
"Siria","Polonia","Mujeres","65 o más",5,0,5,0.9791
"Ucrania","Polonia","Mujeres","65 o más",0,5,5,0.3506
"Afganistán","Reino Unido","Mujeres","65 o más",30,50,80,0.7094
"Apátrida","Reino Unido","Mujeres","65 o más",20,0,20,0.8499
"Corea del Norte","Reino Unido","Mujeres","65 o más",5,10,15,0.6106
"Egipto","Reino Unido","Mujeres","65 o más",5,5,10,0.4035
"Irán","Reino Unido","Mujeres","65 o más",15,30,45,0.7298
"Iraq","Reino Unido","Mujeres","65 o más",30,50,80,0.7951
"Nigeria","Reino Unido","Mujeres","65 o más",0,5,5,0.2159
"Pakistán","Reino Unido","Mujeres","65 o más",55,85,140,0.3156
"Rep. Dem. Congo","Reino Unido","Mujeres","65 o más",0,10,10,0.384
"Siria","Reino Unido","Mujeres","65 o más",40,0,40,0.945
"Somalia","Reino Unido","Mujeres","65 o más",110,95,205,0.8401
"Sri Lanka","Reino Unido","Mujeres","65 o más",10,60,70,0.5331
"Zimbabwe","Reino Unido","Mujeres","65 o más",20,35,55,0.6202
"Bielorrusia","República Checa","Mujeres","65 o más",5,0,5,0.5264
"Siria","República Checa","Mujeres","65 o más",10,0,10,0.9769
"Ucrania","República Checa","Mujeres","65 o más",0,5,5,0.3278
"Siria","Rumanía","Mujeres","65 o más",15,0,15,0.9177
"Afganistán","Suecia","Mujeres","65 o más",35,15,50,0.6943
"Albania","Suecia","Mujeres","65 o más",0,15,15,0.1656
"Apátrida","Suecia","Mujeres","65 o más",110,55,165,0.8405
"Armenia","Suecia","Mujeres","65 o más",0,15,15,0.1476
"Azerbaijan","Suecia","Mujeres","65 o más",0,5,5,0.314
"Bielorrusia","Suecia","Mujeres","65 o más",0,5,5,0.2962
"Bosnia y Herzegovina","Suecia","Mujeres","65 o más",0,15,15,0.0626
"Cuba","Suecia","Mujeres","65 o más",0,5,5,0.7785
"Desconocido","Suecia","Mujeres","65 o más",0,25,25,0.5102
"Egipto","Suecia","Mujeres","65 o más",0,5,5,0.3863
"Eritrea","Suecia","Mujeres","65 o más",50,45,95,0.8933
"Etiopía","Suecia","Mujeres","65 o más",0,10,10,0.5541
"Irán","Suecia","Mujeres","65 o más",25,70,95,0.7154
"Iraq","Suecia","Mujeres","65 o más",295,160,455,0.7831
"Kosovo","Suecia","Mujeres","65 o más",5,50,55,0.1116
"Líbano","Suecia","Mujeres","65 o más",5,40,45,0.1728
"Perú","Suecia","Mujeres","65 o más",0,5,5,0.2335
"Rusia","Suecia","Mujeres","65 o más",5,40,45,0.3246
"Serbia","Suecia","Mujeres","65 o más",5,70,75,0.0518
"Siria","Suecia","Mujeres","65 o más",360,65,425,0.9412
"Somalia","Suecia","Mujeres","65 o más",250,45,295,0.8301
"Sri Lanka","Suecia","Mujeres","65 o más",0,5,5,0.515
"Turquía","Suecia","Mujeres","65 o más",0,15,15,0.3028
"Ucrania","Suecia","Mujeres","65 o más",0,5,5,0.1559
"Uzbekistán","Suecia","Mujeres","65 o más",0,10,10,0.3033
"China (incluye Hong Kong)","Grecia","Desconocido","Desconocido",0,10,10,0.0047
"Desconocido","Grecia","Desconocido","Desconocido",0,10,10,0.0072
"Pakistán","Grecia","Desconocido","Desconocido",0,10,10,0.003
"Desconocido","Malta","Desconocido","Desconocido",10,0,10,0.2567
"China (incluye Hong Kong)","Reino Unido","Desconocido","Desconocido",0,5,5,0.0505
"Serbia","Alemania","Hombres","Desconocido",0,5,5,0.0211
"Iraq","Chipre","Hombres","Desconocido",10,0,10,0.4091
"Palestina","Chipre","Hombres","Desconocido",30,0,30,0.452
"Siria","Chipre","Hombres","Desconocido",20,0,20,0.7541
"Yemen","Chipre","Hombres","Desconocido",5,0,5,0.2276
"Afganistán","Dinamarca","Hombres","Desconocido",0,25,25,0.4245
"Algeria","Dinamarca","Hombres","Desconocido",0,15,15,0.0342
"Apátrida","Dinamarca","Hombres","Desconocido",0,5,5,0.6311
"Bielorrusia","Dinamarca","Hombres","Desconocido",0,5,5,0.1203
"Irán","Dinamarca","Hombres","Desconocido",0,10,10,0.4494
"Iraq","Dinamarca","Hombres","Desconocido",0,10,10,0.5397
"Libia","Dinamarca","Hombres","Desconocido",0,5,5,0.2228
"Marruecos","Dinamarca","Hombres","Desconocido",0,5,5,0.0472
"Palestina","Dinamarca","Hombres","Desconocido",0,5,5,0.5828
"Rusia","Dinamarca","Hombres","Desconocido",0,15,15,0.135
"Siria","Dinamarca","Hombres","Desconocido",0,5,5,0.8386
"Somalia","Dinamarca","Hombres","Desconocido",0,5,5,0.6135
"Sudán","Dinamarca","Hombres","Desconocido",0,5,5,0.4204
"Túnez","Dinamarca","Hombres","Desconocido",0,5,5,0.022
"Turquía","Dinamarca","Hombres","Desconocido",0,5,5,0.1236
"Afganistán","Finlandia","Hombres","Desconocido",0,5,5,0.5513
"Irán","Finlandia","Hombres","Desconocido",0,5,5,0.5762
"Somalia","Finlandia","Hombres","Desconocido",5,10,15,0.7256
"Afganistán","Grecia","Hombres","Desconocido",0,55,55,0.07
"Armenia","Grecia","Hombres","Desconocido",0,5,5,0.0057
"Bangladesh","Grecia","Hombres","Desconocido",0,100,100,0.007
"Desconocido","Grecia","Hombres","Desconocido",0,5,5,0.0334
"Egipto","Grecia","Hombres","Desconocido",0,5,5,0.0204
"Georgia","Grecia","Hombres","Desconocido",0,50,50,0.0024
"India","Grecia","Hombres","Desconocido",0,15,15,0.0016
"Irán","Grecia","Hombres","Desconocido",0,10,10,0.0769
"Iraq","Grecia","Hombres","Desconocido",0,50,50,0.1069
"Líbano","Grecia","Hombres","Desconocido",0,5,5,0.0069
"Moldavia","Grecia","Hombres","Desconocido",0,5,5,0.0022
"Nigeria","Grecia","Hombres","Desconocido",0,15,15,0.0084
"Pakistán","Grecia","Hombres","Desconocido",0,330,330,0.014
"Senegal","Grecia","Hombres","Desconocido",0,5,5,0.0146
"Siria","Grecia","Hombres","Desconocido",0,30,30,0.3466
"Somalia","Grecia","Hombres","Desconocido",0,5,5,0.1395
"Sudán","Grecia","Hombres","Desconocido",0,5,5,0.0689
"Afganistán","Holanda","Hombres","Desconocido",5,5,10,0.5113
"Irán","Holanda","Hombres","Desconocido",5,0,5,0.5365
"Iraq","Holanda","Hombres","Desconocido",5,5,10,0.6245
"Mali","Holanda","Hombres","Desconocido",0,5,5,0.3101
"Serbia","Holanda","Hombres","Desconocido",0,5,5,0.0245
"Siria","Holanda","Hombres","Desconocido",10,0,10,0.8805
"Afganistán","Italia","Hombres","Desconocido",5,0,5,0.8674
"Bangladesh","Italia","Hombres","Desconocido",5,0,5,0.3781
"Eritrea","Italia","Hombres","Desconocido",0,5,5,0.9602
"Ghana","Italia","Hombres","Desconocido",5,0,5,0.5339
"Nigeria","Italia","Hombres","Desconocido",5,10,15,0.4244
"Somalia","Italia","Hombres","Desconocido",30,0,30,0.9337
"Somalia","Malta","Hombres","Desconocido",5,0,5,0.8857
"Afganistán","Reino Unido","Hombres","Desconocido",15,95,110,0.4597
"Albania","Reino Unido","Hombres","Desconocido",0,30,30,0.0692
"Algeria","Reino Unido","Hombres","Desconocido",0,30,30,0.0392
"Apátrida","Reino Unido","Hombres","Desconocido",20,10,30,0.6637
"Bangladesh","Reino Unido","Hombres","Desconocido",0,135,135,0.0733
"Camerún","Reino Unido","Hombres","Desconocido",0,5,5,0.191
"China (incluye Hong Kong)","Reino Unido","Hombres","Desconocido",30,235,265,0.203
"Costa de Marfil","Reino Unido","Hombres","Desconocido",0,5,5,0.2023
"Egipto","Reino Unido","Hombres","Desconocido",5,15,20,0.1908
"Eritrea","Reino Unido","Hombres","Desconocido",75,35,110,0.7582
"Etiopía","Reino Unido","Hombres","Desconocido",0,5,5,0.3177
"Gambia","Reino Unido","Hombres","Desconocido",10,35,45,0.1288
"Ghana","Reino Unido","Hombres","Desconocido",0,35,35,0.1297
"India","Reino Unido","Hombres","Desconocido",0,90,90,0.0183
"Irán","Reino Unido","Hombres","Desconocido",110,145,255,0.485
"Iraq","Reino Unido","Hombres","Desconocido",5,40,45,0.5749
"Jamaica","Reino Unido","Hombres","Desconocido",0,25,25,0.2351
"Kuwait","Reino Unido","Hombres","Desconocido",5,0,5,0.5495
"Libia","Reino Unido","Hombres","Desconocido",10,45,55,0.2485
"Malasia","Reino Unido","Hombres","Desconocido",0,5,5,0.1805
"Malawi","Reino Unido","Hombres","Desconocido",0,15,15,0.1347
"Myanmar/Burma","Reino Unido","Hombres","Desconocido",0,10,10,0.5728
"Nepal","Reino Unido","Hombres","Desconocido",0,5,5,0.1023
"Nigeria","Reino Unido","Hombres","Desconocido",5,160,165,0.0875
"Pakistán","Reino Unido","Hombres","Desconocido",30,305,335,0.1385
"Palestina","Reino Unido","Hombres","Desconocido",0,10,10,0.6171
"Polonia","Reino Unido","Hombres","Desconocido",0,10,10,0
"Rep. Dem. Congo","Reino Unido","Hombres","Desconocido",0,20,20,0.1785
"Rusia","Reino Unido","Hombres","Desconocido",0,5,5,0.1526
"Sierra Leona","Reino Unido","Hombres","Desconocido",0,10,10,0.2301
"Siria","Reino Unido","Hombres","Desconocido",95,20,115,0.857
"Somalia","Reino Unido","Hombres","Desconocido",15,25,40,0.6468
"Sri Lanka","Reino Unido","Hombres","Desconocido",45,200,245,0.2846
"Sudáfrica","Reino Unido","Hombres","Desconocido",0,20,20,0.0866
"Sudán","Reino Unido","Hombres","Desconocido",75,25,100,0.4555
"Turquía","Reino Unido","Hombres","Desconocido",5,15,20,0.1399
"Uganda","Reino Unido","Hombres","Desconocido",10,25,35,0.3903
"Vietnam","Reino Unido","Hombres","Desconocido",0,15,15,0.0538
"Zimbabwe","Reino Unido","Hombres","Desconocido",70,160,230,0.3627
"Palestina","Chipre","Mujeres","Desconocido",25,0,25,0.5593
"Siria","Chipre","Mujeres","Desconocido",20,0,20,0.8252
"Rusia","Dinamarca","Mujeres","Desconocido",0,10,10,0.1937
"Serbia","Dinamarca","Mujeres","Desconocido",0,5,5,0.0266
"Somalia","Finlandia","Mujeres","Desconocido",5,0,5,0.8027
"Etiopía","Grecia","Mujeres","Desconocido",0,5,5,0.0596
"Georgia","Grecia","Mujeres","Desconocido",0,15,15,0.0038
"Nigeria","Grecia","Mujeres","Desconocido",0,5,5,0.0129
"Eritrea","Holanda","Mujeres","Desconocido",0,5,5,0.8557
"Irán","Holanda","Mujeres","Desconocido",5,0,5,0.6405
"Serbia","Holanda","Mujeres","Desconocido",0,5,5,0.0373
"Siria","Holanda","Mujeres","Desconocido",5,5,10,0.9189
"Desconocido","Italia","Mujeres","Desconocido",0,5,5,0.8219
"Somalia","Italia","Mujeres","Desconocido",5,0,5,0.9559
"Afganistán","Reino Unido","Mujeres","Desconocido",5,30,35,0.567
"Albania","Reino Unido","Mujeres","Desconocido",5,10,15,0.1027
"Algeria","Reino Unido","Mujeres","Desconocido",0,15,15,0.0591
"Apátrida","Reino Unido","Mujeres","Desconocido",5,0,5,0.7523
"Bangladesh","Reino Unido","Mujeres","Desconocido",0,15,15,0.1085
"Botswana","Reino Unido","Mujeres","Desconocido",0,5,5,0
"Camerún","Reino Unido","Mujeres","Desconocido",0,20,20,0.2665
"China (incluye Hong Kong)","Reino Unido","Mujeres","Desconocido",20,210,230,0.2816
"Corea del Norte","Reino Unido","Mujeres","Desconocido",0,5,5,0.4568
"Costa de Marfil","Reino Unido","Mujeres","Desconocido",0,25,25,0.2807
"Cuba","Reino Unido","Mujeres","Desconocido",0,5,5,0.6696
"Eritrea","Reino Unido","Mujeres","Desconocido",35,15,50,0.8283
"Etiopía","Reino Unido","Mujeres","Desconocido",0,5,5,0.4174
"Gambia","Reino Unido","Mujeres","Desconocido",20,35,55,0.1853
"Ghana","Reino Unido","Mujeres","Desconocido",5,5,10,0.1866
"India","Reino Unido","Mujeres","Desconocido",0,35,35,0.0279
"Irán","Reino Unido","Mujeres","Desconocido",80,50,130,0.5917
"Iraq","Reino Unido","Mujeres","Desconocido",5,20,25,0.6755
"Jamaica","Reino Unido","Mujeres","Desconocido",0,5,5,0.321
"Kenya","Reino Unido","Mujeres","Desconocido",0,10,10,0.1459
"Libia","Reino Unido","Mujeres","Desconocido",10,10,20,0.3373
"Malawi","Reino Unido","Mujeres","Desconocido",0,25,25,0.1933
"Mauricio","Reino Unido","Mujeres","Desconocido",0,5,5,0.0557
"Myanmar/Burma","Reino Unido","Mujeres","Desconocido",10,0,10,0.6735
"Nigeria","Reino Unido","Mujeres","Desconocido",15,135,150,0.1286
"Pakistán","Reino Unido","Mujeres","Desconocido",45,180,225,0.1983
"Rep. Dem. Congo","Reino Unido","Mujeres","Desconocido",5,30,35,0.2505
"Senegal","Reino Unido","Mujeres","Desconocido",0,5,5,0.2051
"Sierra Leona","Reino Unido","Mujeres","Desconocido",10,0,10,0.315
"Siria","Reino Unido","Mujeres","Desconocido",30,5,35,0.9022
"Somalia","Reino Unido","Mujeres","Desconocido",20,20,40,0.7381
"Sri Lanka","Reino Unido","Mujeres","Desconocido",15,115,130,0.3798
"Sudáfrica","Reino Unido","Mujeres","Desconocido",0,20,20,0.1273
"Sudán","Reino Unido","Mujeres","Desconocido",20,10,30,0.5628
"Uganda","Reino Unido","Mujeres","Desconocido",20,25,45,0.4962
"Vietnam","Reino Unido","Mujeres","Desconocido",0,10,10,0.0804
"Zimbabwe","Reino Unido","Mujeres","Desconocido",85,185,270,0.4669
"Iraq","Alemania","Desconocido","menos de 14",5,5,10,0.4234
"Macedonia","Alemania","Desconocido","menos de 14",0,10,10,0.0021
"Serbia","Alemania","Desconocido","menos de 14",0,10,10,0.011
"Siria","Alemania","Desconocido","menos de 14",10,10,20,0.7649
"Afganistán","Finlandia","Desconocido","menos de 14",0,5,5,0.3874
"Rusia","Finlandia","Desconocido","menos de 14",0,15,15,0.1181
"Albania","Reino Unido","Desconocido","menos de 14",0,5,5,0.0369
"China (incluye Hong Kong)","Reino Unido","Desconocido","menos de 14",0,10,10,0.1159
"Nigeria","Reino Unido","Desconocido","menos de 14",0,10,10,0.0471
"Pakistán","Reino Unido","Desconocido","menos de 14",0,5,5,0.0764
"Sri Lanka","Reino Unido","Desconocido","menos de 14",0,5,5,0.17
"Uganda","Reino Unido","Desconocido","menos de 14",0,5,5,0.2479
"Afganistán","Alemania","Hombres","menos de 14",1955,1560,3515,0.6884
"Albania","Alemania","Hombres","menos de 14",15,555,570,0.1619
"Algeria","Alemania","Hombres","menos de 14",0,85,85,0.0958
"Angola","Alemania","Hombres","menos de 14",45,40,85,0.2805
"Apátrida","Alemania","Hombres","menos de 14",205,95,300,0.8367
"Arabia Saudi","Alemania","Hombres","menos de 14",5,0,5,0.4786
"Armenia","Alemania","Hombres","menos de 14",45,370,415,0.1442
"Azerbaijan","Alemania","Hombres","menos de 14",95,470,565,0.3082
"Bahréin","Alemania","Hombres","menos de 14",5,0,5,0.848
"Bangladesh","Alemania","Hombres","menos de 14",0,15,15,0.1705
"Benin","Alemania","Hombres","menos de 14",0,5,5,0.1984
"Bielorrusia","Alemania","Hombres","menos de 14",0,20,20,0.2905
"Bosnia y Herzegovina","Alemania","Hombres","menos de 14",15,2400,2415,0.061
"Bulgaria","Alemania","Hombres","menos de 14",0,50,50,0
"Camerún","Alemania","Hombres","menos de 14",10,45,55,0.3801
"China (incluye Hong Kong)","Alemania","Hombres","menos de 14",50,165,215,0.3981
"Colombia","Alemania","Hombres","menos de 14",0,10,10,0.2602
"Croacia","Alemania","Hombres","menos de 14",0,30,30,0.0502
"Desconocido","Alemania","Hombres","menos de 14",695,640,1335,0.5033
"Egipto","Alemania","Hombres","menos de 14",55,45,100,0.3798
"Eritrea","Alemania","Hombres","menos de 14",325,40,365,0.8906
"Eslovaquia","Alemania","Hombres","menos de 14",0,45,45,0
"España","Alemania","Hombres","menos de 14",0,5,5,0
"Estonia","Alemania","Hombres","menos de 14",0,10,10,0
"Etiopía","Alemania","Hombres","menos de 14",120,80,200,0.5474
"Gambia","Alemania","Hombres","menos de 14",10,15,25,0.2773
"Georgia","Alemania","Hombres","menos de 14",0,330,330,0.067
"Ghana","Alemania","Hombres","menos de 14",0,100,100,0.279
"Grecia","Alemania","Hombres","menos de 14",0,5,5,0
"Guatemala","Alemania","Hombres","menos de 14",0,5,5,0.1596
"Guinea","Alemania","Hombres","menos de 14",25,45,70,0.4745
"Guinea-Bissau","Alemania","Hombres","menos de 14",0,10,10,0.3118
"India","Alemania","Hombres","menos de 14",0,75,75,0.0462
"Irán","Alemania","Hombres","menos de 14",860,475,1335,0.7097
"Iraq","Alemania","Hombres","menos de 14",5360,1250,6610,0.7784
"Israel","Alemania","Hombres","menos de 14",0,5,5,0.0495
"Jordán","Alemania","Hombres","menos de 14",5,10,15,0.2992
"Kazakhstan","Alemania","Hombres","menos de 14",5,10,15,0.1757
"Kenya","Alemania","Hombres","menos de 14",5,35,40,0.2237
"Kosovo","Alemania","Hombres","menos de 14",50,2410,2460,0.1089
"Kyrgyzstan","Alemania","Hombres","menos de 14",20,40,60,0.1948
"Líbano","Alemania","Hombres","menos de 14",35,295,330,0.1689
"Libia","Alemania","Hombres","menos de 14",25,10,35,0.462
"Lituania","Alemania","Hombres","menos de 14",0,5,5,0
"Macedonia","Alemania","Hombres","menos de 14",15,4485,4500,0.0101
"Mali","Alemania","Hombres","menos de 14",0,5,5,0.487
"Marruecos","Alemania","Hombres","menos de 14",0,25,25,0.1292
"Moldavia","Alemania","Hombres","menos de 14",0,5,5,0.0601
"Mongolia","Alemania","Hombres","menos de 14",0,20,20,0.0669
"Montenegro","Alemania","Hombres","menos de 14",0,410,410,0.0235
"Myanmar/Burma","Alemania","Hombres","menos de 14",45,5,50,0.7769
"Nigeria","Alemania","Hombres","menos de 14",40,245,285,0.1995
"Pakistán","Alemania","Hombres","menos de 14",215,255,470,0.2945
"Rep. Dem. Congo","Alemania","Hombres","menos de 14",70,55,125,0.3607
"Ruanda","Alemania","Hombres","menos de 14",0,10,10,0.6019
"Rumanía","Alemania","Hombres","menos de 14",0,20,20,0.0246
"Rusia","Alemania","Hombres","menos de 14",460,3910,4370,0.3186
"Serbia","Alemania","Hombres","menos de 14",20,11310,11330,0.0505
"Sierra Leona","Alemania","Hombres","menos de 14",10,5,15,0.4369
"Siria","Alemania","Hombres","menos de 14",5410,870,6280,0.9396
"Somalia","Alemania","Hombres","menos de 14",480,105,585,0.8262
"Sri Lanka","Alemania","Hombres","menos de 14",110,55,165,0.5082
"Sudán","Alemania","Hombres","menos de 14",5,15,20,0.6848
"Tajikistán","Alemania","Hombres","menos de 14",5,30,35,0.2178
"Togo","Alemania","Hombres","menos de 14",25,25,50,0.3276
"Túnez","Alemania","Hombres","menos de 14",0,15,15,0.0633
"Turquía","Alemania","Hombres","menos de 14",335,555,890,0.297
"Ucrania","Alemania","Hombres","menos de 14",10,35,45,0.1523
"Uzbekistán","Alemania","Hombres","menos de 14",0,5,5,0.2975
"Vietnam","Alemania","Hombres","menos de 14",5,205,210,0.1286
"Yemen","Alemania","Hombres","menos de 14",0,5,5,0.5992
"Afganistán","Austria","Hombres","menos de 14",1315,460,1775,0.7308
"Albania","Austria","Hombres","menos de 14",5,30,35,0.1917
"Algeria","Austria","Hombres","menos de 14",0,10,10,0.1151
"Angola","Austria","Hombres","menos de 14",20,0,20,0.3238
"Apátrida","Austria","Hombres","menos de 14",60,45,105,0.8629
"Armenia","Austria","Hombres","menos de 14",75,340,415,0.1714
"Austria","Austria","Hombres","menos de 14",0,5,5,0
"Azerbaijan","Austria","Hombres","menos de 14",55,80,135,0.3537
"Bangladesh","Austria","Hombres","menos de 14",0,5,5,0.2015
"Bielorrusia","Austria","Hombres","menos de 14",10,20,30,0.3347
